PoPstateCode,pEffComp,pNoEffComp,pPlatOther,pPlatFnC,pPlatEnC,pPlatVessel,pPlatLand,pPlatAir,pPlatWnA,pPaltMnS,pPSRServices,pPSRProducts,pRnD,pPscPAMS,pPscMED,pPscFRSnC,pPscICT,pPscERS,pPscOther,pPscEnC,pPscLand,pPscEngines,pPscAir,pPscCloth,pPscFuels,pPscLnM,pPscRnD,pPscShips,pPscMnS,pPriceFixed,pPriceTime,pPriceCost,pPriceOther,pFeeNone,pFeeFixed,pFeeEPA,pFeeAward,pFeeIncentive,pFeeRedermination,pFeeEffort,pIDV,pAward,pVehFSS,pVehSAC,pVehPur,pVehMAC,pVehOIDV,pVehDef,pVehBPA,pComp3or4Offers,pNoCompOther,pComp1Offer,pComp5pOffers,pComp2Offers,pNoComp1Source,pCompNo Comp. (Unlabeled),pNoCompFollowOn,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude
NC,0.75287631,0.24712369,0.284908265,0.52426014,0.106311984,0.001168333,0.015847972,0.040158323,0.019953314,0.007391669,0.677157749,0.283534068,0.039308183,0.150538814,0.02315108,0.417200514,0.034386444,0.051880897,0.092068836,0.03894115,0.0099497,0.019437991,0.024401573,0.07912507,0.003022875,0.015659989,0.039308183,0.000497983,0.000428902,0.879128798,0.042164155,0.078390232,0.000316816,0.875192069,0.046166813,0.028914449,0.024167383,0.022373719,0.002885659,0.000299908,0.601548409,0.398451591,0.046199326,0.324001381,0.048066506,0.222440092,0.005992439,0.351772957,0.0015273,0.228497337,0.096269964,0.093846265,0.345103977,0.163739124,0.045023999,0.01995444,0.007564895,10.96410512,35.16559809,1.715366838,2.281902391,43728307664,209778,208450.3983,0.04276254,4364901366,FALSE
ND,0.799386682,0.200613318,0.238113678,0.699621309,0.024712181,0.000970861,0.019537265,0.01503358,0.000716516,0.00129461,0.709616614,0.276306155,0.01407723,0.043516994,0.004806918,0.642054923,0.00906747,0.010170309,0.054808654,0.011193698,0.01916917,0.001661182,0.01315118,0.030550896,0.145215134,0.000356198,0.01407723,7.85E-05,0.00012151,0.972277229,0.002497455,0.025225316,0,0.820265125,0.017468333,0.154109158,-1.16E-05,0.006945461,0.001223499,0,0.509836131,0.490163869,0.016458959,0.400064421,0.041634851,0.085635571,0.000661884,0.454747406,0.000796908,0.185874726,0.079894967,0.090076921,0.460878986,0.14733511,0.021492113,0.013961073,0.000486104,9.377556479,12.91821346,1.898329729,2.015479493,4465284952,24829,179841.514,0.130426705,464315302,FALSE
NE,0.721920159,0.278079841,0.339086322,0.271887697,0.345255346,0.000499333,0.003843419,0.029602222,0.005857738,0.003967923,0.81147666,0.123687045,0.064836295,0.297242971,0.009914193,0.217653048,0.250751167,0.03591528,0.036680095,0.054576509,0.003395286,0.010124893,0.00282694,0.002578387,0.007931855,0.004502605,0.064836295,0.000253202,0.000817272,0.639561941,0.046827872,0.290061982,0.023548205,0.695733498,0.050565109,0.0120609,0.203380809,0.014625876,8.56E-05,0.023548205,0.570827236,0.429172764,0.111857059,0.317524419,0.05438927,0.104047867,0.03429059,0.377149728,0.000741067,0.163716121,0.193114522,0.130435453,0.255672682,0.207509099,0.032062968,0.01617458,0.001314574,6.392289062,15.05562372,1.475739178,1.908809359,8928400055,28592,312269.1681,0.200671801,1011917156,FALSE
NH,0.353793072,0.646206928,0.151101507,0.071973602,0.49408244,0.006686714,0.003677342,0.12806032,0.124160462,0.020257613,0.168296862,0.69420682,0.137496318,0.090927237,0.000615214,0.028935267,0.030715966,0.017103177,0.06929105,0.380055164,0.002996666,0.006035275,0.123618452,0.00783185,0.013126464,0.070843407,0.137496318,0.004711427,0.015697065,0.685879785,0.092989286,0.220734762,0.000396166,0.774052074,0.170681039,0.014635307,0.012408308,0.027569574,0.000257531,0.000396166,0.627273156,0.372726844,0.027416709,0.473922296,0.044247273,0.086020138,0.037704964,0.328749286,0.001939335,0.108235265,0.140441394,0.109417709,0.130650699,0.114542683,0.37855822,0.016027507,0.002126523,17.27072999,48.02008457,1.498525835,2.218685856,16851494873,48459,347747.4746,0.102282365,1749343178,FALSE
NJ,0.532968052,0.467031948,0.432335568,0.186109248,0.205320186,0.022689449,0.015637415,0.043591672,0.04740433,0.046912132,0.539066884,0.310981792,0.149951324,0.319486339,0.007404538,0.112942773,0.044843245,0.054389988,0.085816168,0.087389152,0.016250489,0.009120356,0.033918784,0.022410246,0.006194201,0.033650456,0.149951324,0.007401041,0.0088309,0.496409549,0.230661862,0.27267762,0.000250969,0.670771756,0.135570782,0.028468891,0.104796424,0.059882753,0.000258531,0.000250863,0.593100195,0.406899805,0.022405991,0.271736648,0.041863618,0.290423234,0.006296914,0.366588722,0.000684872,0.169393279,0.094541012,0.121750662,0.186877351,0.154559706,0.23660531,0.032827754,0.003444925,7.685812545,38.82025723,1.524766556,2.353650702,88281929908,432373,204180.0249,0.023194877,8856877106,FALSE
NM,0.569663201,0.430336799,0.36260282,0.320781639,0.1104828,0.000566632,0.01322356,0.042536894,0.076701878,0.073103777,0.577144471,0.177750931,0.245104598,0.232194911,0.006529887,0.273178886,0.024646477,0.04059431,0.035355326,0.069931448,0.012634631,0.001963382,0.023964794,0.010722216,0.009933009,0.011732453,0.245104598,0.000220805,0.001292866,0.581629047,0.029477333,0.387714289,0.001179331,0.571277379,0.243508754,0.015488947,0.160188226,0.007030012,0.001327351,0.001179331,0.44692515,0.55307485,0.02950427,0.31287422,0.039337362,0.098213828,0.002967976,0.515318956,0.001783388,0.200500933,0.167920639,0.156287088,0.236688372,0.130703787,0.086108313,0.016964518,0.004826351,9.33674232,37.33678881,1.535438583,2.216247325,18759871696,56559,331686.7642,0.127395468,1740295427,FALSE
NV,0.499841772,0.500158228,0.295983557,0.257820292,0.084788831,0.000329016,0.012013944,0.324762796,0.020596615,0.003704949,0.622310431,0.34298519,0.034704378,0.18652265,0.054452909,0.230685825,0.012943708,0.137705339,0.021246476,0.063247046,0.009071077,0.006468866,0.216175849,0.003157028,0.005318786,0.017165459,0.034704378,9.05E-05,0.001044091,0.770853814,0.014319776,0.213145883,0.001680528,0.755213421,0.149040685,0.006878644,0.086246146,0.000441169,0.000499406,0.001680528,0.650699653,0.349300347,0.021796807,0.460218032,0.025001035,0.077728157,0.090181574,0.324849504,0.000224891,0.222766736,0.332965955,0.059747381,0.15433603,0.121319149,0.096081507,0.012060267,0.000722976,8.549262877,28.28082737,1.606481249,2.137857883,15054797647,30572,492437.4476,0.187332291,1969850744,FALSE
NY,0.392240626,0.607759374,0.203982484,0.122020445,0.269311137,0.063432653,0.012682799,0.27451785,0.021909314,0.032143319,0.247005467,0.571092835,0.181901698,0.083309732,0.012268595,0.086443718,0.019886177,0.045097245,0.048782539,0.21942494,0.008673907,0.064764906,0.140840225,0.03247652,0.002272962,0.038044746,0.181901698,0.012346951,0.003465138,0.69988073,0.01392554,0.286102196,9.15E-05,0.696199242,0.161457358,0.010004356,0.090373767,0.03939852,0.002475223,9.15E-05,0.445660461,0.554339539,0.029696704,0.339675249,0.052904387,0.066517604,0.008516762,0.502356281,0.000333014,0.106400899,0.12096787,0.120350307,0.14280964,0.141264698,0.336255839,0.030205317,0.00174543,7.817798011,42.31435421,1.432686835,2.481661877,1.04515E+11,428989,243630.7134,0.023368209,10268130806,FALSE
OH,0.490870757,0.509129243,0.369376705,0.126899865,0.119506954,0.004140686,0.083833685,0.261052822,0.030788883,0.0044004,0.326529603,0.52500564,0.148464758,0.168436291,0.004588316,0.067656962,0.058430461,0.027417573,0.076627887,0.040292035,0.084389906,0.146239141,0.052769056,0.092619431,0.015035393,0.012655462,0.148464758,0.003151324,0.001226004,0.730349777,0.049022739,0.220190856,0.000436628,0.771983121,0.116470413,0.025893119,0.077751191,0.007234445,0.000231084,0.000436628,0.697061342,0.302938658,0.061050609,0.541380343,0.041118649,0.078529042,0.013591422,0.263518134,0.000811802,0.102487544,0.118617995,0.106437592,0.187501672,0.167243613,0.294762447,0.020185235,0.002763901,8.652123815,36.65682767,1.493962664,2.31126989,81917301529,540808,151472.0595,0.017709279,7937170404,FALSE
OK,0.686779502,0.313220498,0.405395307,0.28816321,0.089483336,0.00100636,0.013321185,0.123791666,0.067573701,0.011265235,0.671473521,0.305695547,0.022830932,0.181484803,0.024715643,0.233533131,0.042609604,0.18913034,0.057728834,0.021331545,0.007045092,0.026158007,0.040877002,0.008258636,0.138811878,0.002649242,0.022830932,0.000882726,0.001952586,0.784819221,0.128294068,0.086775219,0.000111492,0.717985956,0.04035369,0.164114109,0.035702967,0.041450844,0.000280942,0.000111492,0.649687304,0.350312696,0.027813624,0.413929629,0.035555247,0.203674898,0.003283123,0.315017348,0.000726131,0.15551624,0.105704853,0.081306414,0.388537714,0.138545134,0.109835014,0.015142061,0.00541257,10.14809357,16.39435884,1.910325466,2.06511407,31237183082,89639,348477.5944,0.085964063,3135505234,FALSE
