PoPstateCode,pNoEffComp,pEffComp,pPlatAir,pPlatLand,pPlatFnC,pPlatOther,pPlatMnS,pPlatEnC,pPlatWnA,pPlatVessel,pPSRProducts,pRnD,pPSRServices,pPscAir,pPscLand,pPscOther,pPscRnD,pPscERS,pPscFRSnC,pPscCloth,pPscEngines,pPscPAMS,pPscEnC,pPscMED,pPscFuels,pPscLnM,pPscICT,pPscShips,pPscMnS,pPriceCost,pPriceFixed,pPriceTime,pPriceOther,pFeeFixed,pFeeNone,pFeeEPA,pFeeAward,pFeeEffort,pFeeIncentive,pFeeRedermination,pAward,pIDV,pVehDef,pVehMAC,pVehSAC,pVehFSS,pVehOIDV,pVehPur,pVehBPA,pNoCompOther,pComp1Offer,pNoComp1Source,pComp2Offers,pComp3or4Offers,pComp5pOffers,pNoCompFollowOn,pCompNo.Comp...Unlabeled.,wavOffers,avOffers,lwavOffers,lavOffers,TotalValue,TotalCount,avSize,lavSize,MaxAnnualValue,Exclude,PredFit90,PredLwr90,PredUpr90,PredFit95,PredLwr95,PredUpr95
NC,0.213881807,0.786118193,0.022605002,0.006289764,0.507289927,0.339517314,0.004227458,0.111087347,0.003960281,0.005022908,0.178775124,0.05530911,0.765915767,0.018246041,0.004163578,0.050428021,0.05530911,0.051493994,0.429236321,0.052390326,0.009538257,0.181459831,0.036399123,0.046986359,0.001182493,0.003012064,0.056739262,0.003071568,0.000343652,0.144680266,0.837469861,0.01766937,0.000180503,0.110312226,0.862368543,0.00840305,0.006175378,6.13E-05,0.012278865,0.000400656,0.344131776,0.655868224,0.289083062,0.305077073,0.296969687,0.03411351,0.00648438,0.055042938,0.013229349,0.083302841,0.065522544,0.046079233,0.123705546,0.289000978,0.373411668,0.018612257,0.000364932,8.829372076,40.1958042,1.746066508,2.491944252,2489014204,12582,197823.4147,0.074467819,2489014204,FALSE,0.750557454,0.557784518,0.943330391,0.750557454,0.519334152,0.981780757
ND,0.121327898,0.878672102,0.00686477,0.010759283,0.772108359,0.135569372,4.69E-05,0.074332744,0.000306231,1.23E-05,0.138586236,0.005243014,0.856170751,0.006039417,0.010336057,0.038082432,0.005243014,0.043148528,0.721125467,0.067101033,0.003921281,0.061866624,0.009417769,0.005199494,0.003417075,0.000191506,0.024830638,0,7.97E-05,0.01915719,0.980332711,0.000510099,0,0.01762381,0.938281338,0.004165462,0,0,0,0.03992939,0.574978762,0.425021238,0.537143484,0.129111077,0.297394432,-0.013027042,0.006017598,0.037836912,0.005523538,0.054932838,0.051542685,0.013762349,0.217084815,0.233522188,0.428065099,0.00107794,1.21E-05,5.958765816,9.462121212,1.713454746,1.978021898,221242002.2,2008,110180.28,0.150419673,221242002.2,FALSE,0.880005033,0.68172538,1.078284686,0.880005033,0.642176648,1.117833419
NE,0.246516989,0.753483011,0.081122832,0.000940443,0.377455689,0.182958864,0.001319962,0.353406166,0.002435994,0.00036005,0.155075203,0.026149531,0.818775266,0.033878404,0.000807466,0.010151656,0.026149531,0.054851724,0.350866622,0.001157055,0.000159958,0.168779701,0.106565906,0.015788071,0.00070678,6.38E-05,0.228489148,0.001358592,0.000225592,0.229862493,0.706261287,0.004100775,0.059775445,0.003473218,0.71396948,0.002401622,0.182075015,0.059775445,0.03830522,0,0.46236809,0.53763191,0.431510149,0.224486065,0.242834989,0.015483364,0.044748206,0.03699329,0.003943937,0.081469727,0.090309635,0.070088303,0.120779822,0.154962697,0.477740492,0.004388132,0.000261191,4.799147675,13.48,1.618762042,1.869484295,646780505.7,2230,290036.1012,0.345789443,646780505.7,FALSE,0.684697837,0.48746618,0.881929494,0.684697837,0.44812648,0.921269194
NH,0.653035416,0.346964584,0.094937936,0.00172977,0.078420143,0.159025432,0.006682719,0.544592323,0.111119763,0.003491914,0.763451942,0.111104302,0.125443756,0.103967209,0.001715847,0.037134708,0.111104302,0.007659556,0.033051543,0.004690387,0.005070566,0.071236648,0.491879514,0.000117166,0.019648485,0.058621552,0.013378842,0.000773647,0.039950027,0.222528867,0.773552303,0.003944548,-2.57E-05,0.212204332,0.759022874,0.019458986,0.000139353,-2.57E-05,0.009200174,0,0.331151906,0.668848094,0.281277289,0.117094232,0.334205361,0.014527963,0.198316544,0.049880693,0.004697918,0.173554189,0.143444747,0.33553223,0.065604548,0.13212001,0.149240026,0.00050425,0,18.53847409,43.95719844,1.557918309,2.376869855,1131455659,4103,275763.0171,0.131057127,1131455659,FALSE,0.453356342,0.248127894,0.65858479,0.453356342,0.207193159,0.699519525
NJ,0.478097365,0.521902635,0.05151411,0.015429246,0.192234574,0.279977685,0.057593411,0.295986296,0.099993802,0.007270875,0.42454648,0.208959445,0.366494075,0.025344982,0.033905143,0.102178727,0.208959445,0.017173268,0.111992443,0.012641605,0.007097458,0.135568903,0.136080807,0.06273508,0.001282757,0.099074072,0.039024381,0.006336612,0.000604317,0.343969784,0.665467114,-0.009605719,0.000168821,0.233656726,0.494991594,0.016747818,0.01829749,0.000168821,0.236137551,0,0.623609283,0.376390717,0.557625299,0.167415213,0.181070293,0.008613987,0.015280461,0.066124435,0.003870312,0.077887235,0.071641896,0.320996626,0.189721935,0.158194743,0.173985958,0.006011051,0.001560557,8.302421261,35.96581197,1.473848296,2.39582703,5533616034,44082,125530.0584,0.026987476,5533616034,FALSE,0.413020598,0.21417915,0.611862045,0.413020598,0.174518362,0.651522833
NM,0.30807513,0.69192487,0.042751541,0.017341532,0.392625326,0.380892619,0.0451937,0.066598825,0.053783115,0.000813342,0.090915056,0.205068445,0.704016499,0.021676141,0.017027918,0.025710729,0.205068445,0.064964348,0.352674271,0.001047423,0.001038371,0.249281715,0.019100243,0.010320887,0.002708122,0.002169716,0.026775278,0.000167151,0.000269242,0.338075439,0.658870117,0.002169681,0.000884764,0.222168451,0.65719014,0.009320859,0.099773004,0.000884764,0.010675382,-1.26E-05,0.511500195,0.488499805,0.471626146,0.199044714,0.249952109,0.016405413,0.012234189,0.040343772,0.010393656,0.142057437,0.111865331,0.053327713,0.104651309,0.313673178,0.273600383,0.000794545,3.01E-05,11.51029524,34.69369369,1.647694222,2.339534214,1262429036,4118,306563.6319,0.22721069,1262429036,FALSE,0.589093126,0.395942435,0.782243816,0.589093126,0.357416721,0.82076953
NV,0.58989195,0.41010805,0.194483855,0.009088866,0.203607174,0.489403388,0.000114157,0.094912588,0.00809525,0.000294723,0.248396486,0.03863773,0.712965785,0.122845079,0.002576587,0.012879399,0.03863773,0.077530414,0.186655393,0.003104325,0.002606162,0.403919461,0.074059619,0.026349546,0.023176377,0.005665009,0.018510971,0.0001534,0.001330528,0.386190561,0.604579283,0.002228827,0.007001329,0.361594383,0.593256418,0.023103245,0.015044626,0.007001329,0,0,0.203319624,0.796680376,0.181536731,0.131344361,0.247606788,0.007870598,0.405751887,0.021786648,0.004102986,0.406232036,0.021240303,0.162176039,0.042582137,0.236329997,0.131195915,0.000243572,0,9.920805565,24.58549223,1.790972191,2.147604901,1273454534,2689,473579.2242,0.26514144,1273454534,FALSE,0.579423995,0.375369792,0.783478199,0.579423995,0.33466927,0.82417872
NY,0.679085899,0.320914101,0.346135028,0.008081617,0.148567072,0.189890051,0.011774972,0.280353035,0.010079758,0.005118467,0.526818193,0.227037277,0.24614453,0.163813781,0.005584824,0.063217157,0.227037277,0.027104078,0.104332676,0.013225984,0.012142961,0.08548456,0.247645527,0.019055627,0.000273271,0.006891139,0.010167591,0.003339162,0.010684387,0.157418255,0.839958849,0.002565492,5.74E-05,0.072937473,0.84033128,0.004213386,0.035327882,5.74E-05,0.047132575,0,0.593407418,0.406592582,0.512242002,0.052312091,0.294514039,0.011778858,0.046196519,0.081317567,0.001638924,0.160584933,0.094094735,0.421445286,0.069767677,0.13462554,0.116520885,0.002805691,0.000155253,8.514492819,46.7027027,1.476855068,2.594478953,6218712348,39207,158612.2975,0.02801755,6218712348,FALSE,0.353526335,0.160266258,0.546786412,0.353526335,0.121718726,0.585333943
OH,0.332299172,0.667700828,0.292569289,0.037039272,0.10464219,0.386357179,0.006681817,0.122947258,0.042968652,0.006794344,0.591976372,0.151568616,0.256455011,0.042918986,0.033728678,0.072034191,0.151568616,0.028379645,0.065177313,0.176532334,0.208094619,0.09780999,0.035730971,0.002619501,0.003344994,0.011773448,0.062468562,0.006642241,0.00117591,0.234552243,0.75966313,0.005888063,-0.000103436,0.161869518,0.788960124,0.004785244,0.028960266,-0.000103436,0.015528285,0,0.251696225,0.748303775,0.193820044,0.089746075,0.596064508,0.018332852,0.038650989,0.058119973,0.00526556,0.05800531,0.10605328,0.166903271,0.285551948,0.14757629,0.23457259,0.001436377,-9.91E-05,4.984739689,42.31060606,1.40760017,2.465516345,4491815790,58201,77177.63939,0.018382701,4491815790,FALSE,0.531253975,0.308655328,0.753852621,0.531253975,0.264255944,0.798252005
OK,0.408569288,0.591430712,0.213771039,0.015890529,0.353183372,0.310671796,0.001574907,0.070204259,0.034571959,0.00013214,0.178632708,0.005743903,0.815623389,0.086175568,0.011753702,0.038576084,0.005743903,0.248707921,0.303510055,0.008180849,0.008179222,0.210051701,0.017570949,0.006070822,0.004220899,0.003179561,0.047282889,0.000153399,0.000642476,0.101471198,0.870659655,0.027869146,0,0.069262331,0.838495003,0.005070686,0.031494349,0,0.055677632,0,0.441681794,0.558318206,0.407330123,0.216960991,0.31116056,0.014856381,0.010392363,0.03538239,0.003917192,0.140581886,0.045816976,0.214877425,0.101749766,0.103278788,0.386402158,0.003507045,0.003785957,7.378742466,13.76245211,1.830200198,2.049246209,1833759982,7155,256290.7033,0.121149082,1833759982,FALSE,0.68618849,0.489374786,0.883002194,0.68618849,0.450118451,0.922258529
OR,0.463255842,0.536744158,0.081399285,0.010718847,0.272313736,0.176871092,-0.016470453,0.219927209,0.036049053,0.219191231,0.536195467,0.027781844,0.436022689,0.076834634,0.01133512,0.05088481,0.027781844,0.150207097,0.220418533,0.048671005,0.015191011,0.054739507,0.199801676,0.00291956,0.022755892,0.009988272,0.007737991,0.100544153,0.000188895,0.115314304,0.884711734,-2.60E-05,0,0.043244369,0.925254705,0.021541484,1.78E-05,0,0.010047144,-0.000105482,0.52578762,0.47421238,0.462763025,0.028563335,0.368695453,0.030641102,0.007249187,0.063335142,0.038752756,0.077068541,0.063520128,0.28725496,0.189130812,0.131354313,0.216259033,0.000590746,0.034821466,21.63855929,50.00518135,1.627290914,2.378265868,573647830.7,3124,183626.0662,0.186671342,573647830.7,FALSE,0.603325648,0.41224381,0.794407486,0.603325648,0.374130748,0.832520548
PA,0.409590405,0.590409595,0.10664535,0.077819842,0.087784151,0.27672101,0.090095992,0.084344379,0.061237244,0.215352033,0.770009331,0.060141935,0.169848734,0.103696513,0.076649697,0.043245675,0.060141935,0.006737417,0.05929446,0.154538185,0.210895663,0.047585859,0.029982124,0.024801837,0.001152228,0.058877496,0.031429162,0.003366993,0.087604756,0.424276726,0.571957987,0.003708204,5.71E-05,0.317943763,0.555818418,0.007596935,0.011686852,5.71E-05,0.106896949,0,0.633104321,0.366895679,0.59883852,0.045371012,0.287197232,0.013170052,0.017670701,0.03489349,0.002858993,0.035959929,0.056807319,0.314600507,0.167228084,0.202388965,0.220792546,0.001668572,0.000554078,9.541051176,51.59124088,1.502342579,2.553361501,10152185286,105186,96516.50681,0.01190508,10152185286,FALSE,0.4589753,0.240064469,0.677886131,0.4589753,0.196400654,0.721549945
PR,0.169170804,0.830829196,0.000148213,0.00037326,0.255441514,0.717165696,1.62E-05,0.026329128,0.000189114,0.00033691,0.697953935,0.000331241,0.301714824,0.000101743,0.000355977,0.014902581,0.000331241,0.011972057,0.178058945,0.650533318,0.003919965,0.099346695,0.010353765,0.002631361,0.017390621,4.78E-05,0.009705766,0.000319043,2.91E-05,0.096057551,0.903304371,0.000638078,0,0.024027857,0.886779471,0.016764835,0.072427838,0,0,0,0.179011509,0.820988491,0.154952366,0.005291004,0.803017613,0.010063758,0.000108744,0.024060143,0.002506373,0.101680038,0.056845374,0.010570812,0.104737277,0.269985933,0.456105985,7.46E-05,0,7.371543626,8.095652174,1.897183738,1.877423343,334801416.6,1138,294201.5963,0.255796516,334801416.6,FALSE,0.68448826,0.473410508,0.895566013,0.68448826,0.431309074,0.937667446
RI,0.477932504,0.522067496,0.07722304,0.000404758,0.205325393,0.365003657,0.025407975,0.215770271,0.095226844,0.015638062,0.370492157,0.062229239,0.567278604,0.07592265,0.000350762,0.020891601,0.062229239,0.051434357,0.17280907,0.011016833,0.002282483,0.309741483,0.14960933,0.003192498,5.76E-05,0.085478084,0.030101196,0.000251827,0.024630992,0.449776252,0.54953239,0.000390959,0.000300399,0.356460336,0.481529748,0.00066134,0.011354414,0.000300399,0.149693764,0,0.379222227,0.620777773,0.344226919,0.317836182,0.222488122,0.013464011,0.064949027,0.034998083,0.002037656,0.114276387,0.176481179,0.184384633,0.15323629,0.205806968,0.163024238,0.002790306,0,9.837745678,28,1.380678166,2.015286033,824260461.2,2696,305734.5924,0.284386253,824260461.2,FALSE,0.542793351,0.347351981,0.738234721,0.542793351,0.30836937,0.777217332
SC,0.342866383,0.657133617,0.014826679,0.072535343,0.260447255,0.234686328,-1.94E-05,0.359507879,0.027325731,0.030690154,0.281067929,0.01633441,0.702597661,0.000705644,0.082469014,0.029809397,0.01633441,0.036716843,0.22248065,0.045024275,0.003966807,0.170037328,0.083352844,0.005196097,0.000234474,0.026846616,0.268166744,0.008325227,0.000333631,0.394186917,0.603491575,0.002314422,7.09E-06,0.370971097,0.601197944,0.002533841,0.008823982,7.09E-06,0.015168136,0.001297913,0.337297566,0.662702434,0.310494524,0.348451992,0.288896466,0.014003287,0.007011692,0.027951208,0.003190831,0.068632388,0.198294159,0.056277243,0.171198807,0.237880432,0.248054379,0.019662647,-5.35E-08,4.750578315,18.02208202,1.425864615,2.16253577,2737074858,10216,267920.405,0.102555007,2737074858,FALSE,0.681385665,0.483077701,0.87969363,0.681385665,0.443523322,0.919248009
SD,0.49097855,0.50902145,0.012955128,0.0087131,0.329813071,0.145836596,0.35318162,0.088498036,0.06033669,0.000665759,0.556108788,0.04133742,0.402553791,0.012495722,0.00795027,0.067149498,0.04133742,0.044300633,0.23846124,0.011572876,0.000306333,0.093648797,0.062865941,0.016115121,0.003599102,0.035304405,0.010027999,0.000635017,0.354229625,0.039393859,0.921706604,0.002984693,0.035914844,-1.88E-05,0.961541807,0.002562164,0,0.035914844,0,0,0.633235914,0.366764086,0.513293624,0.138735089,0.196685167,0.014817493,0,0.120325801,0.016142826,0.029056716,0.449503761,0.009645957,0.090452645,0.173123201,0.245445605,0.002772116,0,3.713305193,7.726415094,1.288564415,1.862869694,122796438.2,976,125816.0228,0.306683189,122796438.2,FALSE,0.578913823,0.381603056,0.77622459,0.578913823,0.342247577,0.815580069
TN,0.253517192,0.746482808,0.011076168,0.016169456,0.231752719,0.481674189,0.018652031,0.110940903,0.128079006,0.001655529,0.350533217,0.032054056,0.617412727,0.009225232,0.012975258,0.029574271,0.032054056,0.079732709,0.209242677,0.0979622,0.017728151,0.281196135,0.05081922,0.000737092,0.002975239,0.127629737,0.046504114,0.001385281,0.000258629,0.305241852,0.694267015,4.97E-05,0.00044143,0.051242354,0.709336273,0.006913133,0.23206681,0.00044143,0,0,0.499027006,0.500972994,0.429411233,0.07216497,0.290026886,0.015382072,0.044304197,0.069778265,0.078932378,0.150025235,0.069036866,0.034121494,0.200093144,0.416090457,0.130299207,0.000322443,1.12E-05,7.077352805,24.36614173,1.500228095,2.158178109,1171545039,7332,159785.1935,0.076791116,1171545039,FALSE,0.564048993,0.369257904,0.758840082,0.564048993,0.330404998,0.797692988
TX,0.605689857,0.394310143,0.398799555,0.007017015,0.094178234,0.362087347,0.047455089,0.074685539,0.014891662,0.000885559,0.621349847,0.074144479,0.304505674,0.306341647,0.003706955,0.025461613,0.074144479,0.1130885,0.070472219,0.010212517,0.00669182,0.093113948,0.061013359,0.018680482,0.154963504,0.007844317,0.009150525,0.000305946,0.04480817,0.188849937,0.802719918,0.005196477,0.003233667,0.103836163,0.511611278,0.104242175,0.060302137,0.003233667,0.215326184,0.001448396,0.515829366,0.484170634,0.497555089,0.051420683,0.315133202,0.010362992,0.105086342,0.018558692,0.001883,0.153915625,0.027697621,0.422548501,0.101778123,0.060479682,0.232052339,0.001354887,0.000173223,12.8803851,43.82189781,2.084726471,2.593535075,23563253966,43951,536125.5481,0.038416435,23563253966,FALSE,0.375699251,0.180978904,0.570419599,0.375699251,0.142140108,0.609258395
UT,0.480881459,0.519118541,0.061648255,0.003852554,0.242869749,0.217888109,0.052122506,0.208058319,0.213516165,4.43E-05,0.265341303,0.111701904,0.622956793,0.050973369,0.002814794,0.040718971,0.111701904,0.075147919,0.193659824,0.010635023,0.00569742,0.296427713,0.129560059,0.003590044,0.019276571,0.000428818,0.054131293,1.23E-05,0.005224011,0.400049789,0.597332185,0.001730608,0.000887418,0.199096756,0.575862245,0.02187621,0.19524629,0.000887418,0.007031082,0,0.47332308,0.52667692,0.446585285,0.162570252,0.285207785,0.009726804,0.06358989,0.026889041,0.005430943,0.179604167,0.104859959,0.196292536,0.264655956,0.150758196,0.10370439,0.000124797,0,6.328223631,24.10861423,1.369694902,2.041984462,1533525162,4384,349800.4475,0.177579865,1533525162,FALSE,0.53588047,0.34216326,0.729597681,0.53588047,0.303524548,0.768236392
VA,0.453290636,0.546709364,0.03164719,0.005432254,0.078222844,0.437015227,0.004093964,0.280544822,0.016880728,0.146162971,0.320590157,0.098489628,0.580920215,0.017859178,0.002831802,0.027861927,0.098489628,0.073400027,0.050750556,0.010028336,0.00173797,0.264067131,0.087704389,0.017403637,0.053245654,0.007392387,0.175298864,0.110997304,0.00093121,0.393013964,0.580357237,0.0141716,0.012457199,0.25110877,0.558253094,0.051094576,0.033787002,0.012456618,0.091378391,0.001921549,0.333325356,0.666674644,0.314387842,0.207974715,0.34322385,0.048203131,0.036471227,0.020144304,0.029594932,0.094103025,0.141324554,0.208543703,0.157004193,0.141713355,0.247991816,0.007919114,0.00140024,9.511551468,37.34015595,1.625162649,2.464805417,33588970642,84280,398540.2307,0.027062796,33588970642,FALSE,0.588268875,0.394056175,0.782481575,0.588268875,0.355318634,0.821219116
VI,0.559653055,0.440346945,0,0,0.421713372,0.374302757,0,0.194453249,0,0.009530621,0.292413103,0,0.707586897,0,0,0.1326024,0,0.02377718,0.298548496,0.04165536,0,0.111396483,0.100872952,0.185608793,0.00775177,0,0.088255946,0.009530621,0,0,1,0,0,0,0.970192279,0.02377718,0.006030542,0,0,0,0.704676862,0.295323138,0.214760742,0.02377718,0.116622616,0.108202235,0,0.48991612,0.046721107,0.124375109,0.391206451,0.044071495,0.085127913,0.054053624,0.301165408,0,0,3.684662628,6.692307692,1.277066654,1.677974563,4228475.797,172,24584.16161,0.397782199,4228475.797,TRUE,0.73443658,0.52063256,0.948240601,0.73443658,0.477987347,0.990885814
VT,0.70707228,0.29292772,0.26439897,0.02645603,0.204426246,0.312065418,0.012245876,0.049452149,0.130163193,0.000792118,0.772266953,0.054358052,0.173374995,0.263257103,0.023740175,0.146472861,0.054358052,0.005295216,0.07874861,0.161548661,0.004665196,0.086416626,0.035493187,0.001384566,0.001636325,0.145689943,0.001529976,0.000683133,-0.01091963,0.118326068,0.881673932,0,0,0.096054787,0.900910767,0.003034446,0,0,0,0,0.642839399,0.357160601,0.490343758,0.069475666,0.135580467,0.103646914,0.042911033,0.152495642,0.00554652,0.050936286,0.291323051,0.364819127,0.043529733,0.123405465,0.125992522,-6.18E-06,0,8.247924884,16.89230769,1.314578434,1.942360023,145101941.5,2229,65097.32683,0.116688487,145101941.5,FALSE,0.322333422,0.115536109,0.529130734,0.322333422,0.074288449,0.570378394
WA,0.546234903,0.453765097,0.646088319,0.003756456,0.157056656,0.110536123,0.003186951,0.047144801,0.005769823,0.026460872,0.724334592,0.026796074,0.248869334,0.633969728,0.002434823,0.019583531,0.026796074,0.038083564,0.134862582,0.011905487,0.002203233,0.037825488,0.017283157,0.024835708,0.027438569,0.001704207,0.013261992,0.007475534,0.000336323,0.093220897,0.905323113,0.000810713,0.000645277,0.033589649,0.425975854,0.013104768,0.004352558,0.000645277,0.522325169,6.73E-06,0.740429961,0.259570039,0.716741398,0.057397324,0.164914932,0.007624139,0.027510603,0.023960161,0.001851443,0.096146961,0.02477696,0.423853019,0.254871555,0.063765122,0.13512842,0.00138177,7.62E-05,7.177893274,42.6124031,1.511638196,2.345456957,7520380711,21206,354634.5709,0.04418243,7520380711,FALSE,0.273011442,0.064048606,0.481974277,0.273011442,0.022369013,0.523653871
WI,0.351749545,0.648250455,0.008517231,0.412023444,0.230174162,0.219911231,0.000161373,0.036599954,0.078642171,0.013970434,0.705537354,0.018618173,0.275844473,0.007100318,0.383944496,0.134173762,0.018618173,0.017774695,0.111870433,0.042123349,0.025924917,0.054919859,0.018228539,0.088851094,0.001797245,0.078092449,0.002428392,0.012924042,0.001228238,0.021665246,0.978046603,0.000288151,0,0.021291019,0.849273774,0.066061865,0.000983027,0,0.062390307,7.06E-09,0.359218225,0.640781775,0.26152741,0.242578271,0.337426383,0.016556171,0.038587378,0.099216257,0.004108131,0.068272813,0.094232051,0.189078206,0.198555231,0.307080828,0.142614397,0.000166475,0,6.544863435,28.95689655,1.436633681,2.234095824,1281672484,8948,143235.6375,0.06453482,1281672484,FALSE,0.653536459,0.446573519,0.860499398,0.653536459,0.405292823,0.901780094
WV,0.265084389,0.734915611,0.004554482,0.00438939,0.4973477,0.180635338,0.054532842,0.07527693,0.174041875,0.009221443,0.347209334,0.03981957,0.612971096,0.003442325,0.00332291,0.066139811,0.03981957,0.004310075,0.442263717,0.010754155,0.00556422,0.123186836,0.03106415,0.002625106,0.016220097,0.113026463,0.040585362,0.009074147,0.088601057,0.120849636,0.875460219,0.003690145,0,0.061228561,0.850412999,0.000569118,0.060228612,0,0.027560711,0,0.688375783,0.311624217,0.59420749,0.078316292,0.189868527,0.025813372,0.000710549,0.094168293,0.016915477,0.095673639,0.049031385,0.120009674,0.145041397,0.227706813,0.362167401,0.000369691,0,12.75256032,19.94285714,1.835367359,1.978435312,239616282.7,2195,109164.5935,0.141706438,239616282.7,FALSE,0.619123252,0.42335075,0.814895754,0.619123252,0.384302092,0.853944412
WY,0.249468814,0.750531186,0.132557378,0.003566582,0.651351174,0.088278383,0,0.114587563,0.005823865,0.003835055,0.160249967,0.034181666,0.805568367,0.008494025,0.003310956,0.093593134,0.034181666,0.147700598,0.532177236,0.00650275,0.001234525,0.063423246,0.041293125,0.020798984,7.50E-05,0.005408163,0.041468303,0.000184355,0.00015389,0.029533329,0.972079636,-0.003118756,0.001505791,0.027982898,0.923210589,0.047300722,0,0.001505791,0,0,0.513344468,0.486655532,0.433969548,0.209515371,0.201736226,0.035380862,0.0153935,0.07937492,0.024629574,0.108319447,0.060619939,0.058346183,0.217625336,0.277269481,0.255636369,0.022121956,6.13E-05,4.707500546,7.846846847,1.556833778,1.915337297,90317748.37,844,107011.5502,0.309080276,90317748.37,FALSE,0.796894698,0.594797063,0.998992332,0.796894698,0.554486798,1.039302598
