fiscal_year,Query_Run_Date,Customer,Majorcommandid,StartYearObligatedAmount,StartYearbaseandexercisedoptionsvalue,StartYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2001,59:26.2,Defense,ORG-2877,$100 - <$500 million,Zero value,Zero value,21,201,4853612444,214
2012,59:26.2,Defense,ORG-2841,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3,10,1612747,10
2004,59:26.2,Defense,ORG-2837,$5 - <$25 million,Zero value,Zero value,6,42,55534143,43
2010,59:26.2,Defense,ORG-2776,Less than $250 thousand,Less than $250 thousand,Deobligation,5,15,413495.42,15
2010,59:26.2,Defense,ORG-2877,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,3,13,3490293.1,13
2006,59:26.2,Defense,ORG-2774,$25 - <$100 million,Zero value,Zero value,2,6,103417093,6
2005,59:26.2,Defense,ORG-2841,Zero value,Zero value,Zero value,1,2,0,2
2008,59:26.2,Defense,ORG-2936,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,39,140,100031243.3,143
2006,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,2,2,1689161.52,2
2008,59:26.2,Defense,ORG-2870,Less than $250 thousand,Less than $250 thousand,Zero value,6,12,77649.31,12
2012,59:26.2,Defense,ORG-4955,Zero value,NULL,$1 - <$5 million,10,12,0,NULL
2013,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$25 - <$100 million,Zero value,1,4,311881,4
2005,59:26.2,Defense,ORG-2944,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,378317,1
2007,59:26.2,Defense,ORG-2943,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,3,13,5331998,13
2012,59:26.2,Defense,ORG-2937,$1 - <$5 million,$5 - <$25 million,Zero value,5,47,19125635.96,51
2011,59:26.2,Defense,ORG-2775,$1 - <$5 million,Deobligation,Deobligation,1,5,2209285,5
2013,59:26.2,Defense,ORG-2837,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,1,5,1141525.047,5
2009,59:26.2,Defense,ORG-2871,$25 - <$100 million,$100 - <$500 million,$5 - <$25 million,1,7,76948738.56,7
2002,59:26.2,Defense,ORG-2869,Zero value,NULL,$1 - <$5 million,1,1,0,NULL
2014,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,19,28,8590363.117,28
2010,59:26.2,Defense,ORG-2882,Less than $250 thousand,Deobligation,Deobligation,8,23,578495.65,23
2010,59:26.2,Defense,ORG-2791,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,2,2,484555.4,2
2011,59:26.2,Defense,ORG-2877,Deobligation,$5 - <$25 million,$5 - <$25 million,1,3,-4586974.6,3
2006,59:26.2,Defense,ORG-2936,$1 - <$5 million,$1 - <$5 million,Zero value,2,14,4546012.43,14
2014,59:26.2,Defense,ORG-2837,$1 - <$5 million,$1 - <$5 million,Deobligation,7,21,13904924.39,21
2012,59:26.2,Defense,ORG-2942,$5 - <$25 million,Deobligation,Deobligation,1,9,10892566,9
2013,59:26.2,Defense,ORG-2784,Deobligation,Zero value,Zero value,4,4,-14586.1101,4
2011,59:26.2,Defense,ORG-2845,Zero value,Zero value,Deobligation,2,3,0,3
2013,59:26.2,Defense,ORG-2825,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,16,4619454.741,25
2008,59:26.2,Defense,ORG-2836,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,92,200,193310925.8,200
2008,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,34,55,15670492.63,55
2006,59:26.2,Defense,ORG-2940,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,8898,10734,412494188.7,10758
2011,59:26.2,Defense,ORG-2936,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,1,12,139307913,12
2004,59:26.2,Defense,ORG-2936,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,1,16,99156305,19
2008,59:26.2,Defense,ORG-2937,Zero value,$5 - <$25 million,$5 - <$25 million,6,13,0,13
2011,59:26.2,Defense,ORG-2943,$100 - <$500 million,$5 - <$25 million,$5 - <$25 million,1,12,316144107.6,12
2013,59:26.2,Defense,ORG-3960,$1 - <$5 million,$1 - <$5 million,Deobligation,5,33,7684415.449,33
2008,59:26.2,Defense,ORG-2877,Zero value,NULL,Deobligation,9,43,0,NULL
2008,59:26.2,Defense,ORG-2876,Zero value,NULL,$250 thousand - <$1 million,384,837,0,NULL
2012,59:26.2,Defense,ORG-2872,Zero value,Zero value,Deobligation,21,42,0,42
2011,59:26.2,Defense,ORG-2869,$1 - <$5 million,$250 thousand - <$1 million,Zero value,1,3,1017682.44,3
2014,59:26.2,Defense,ORG-2843,$100 - <$500 million,$25 - <$100 million,$25 - <$100 million,1,509,101380385.8,509
2014,59:26.2,Defense,NULL,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,10,46,21210510.7,46
2002,59:26.2,Defense,ORG-2862,$250 thousand - <$1 million,Zero value,Zero value,105,129,45110913,129
2014,59:26.2,Defense,ORG-2835,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,145,394,315415039,499
2007,59:26.2,Defense,ORG-2882,$25 - <$100 million,Zero value,Zero value,1,4,61694021,4
2007,59:26.2,Defense,ORG-2941,Zero value,Less than $250 thousand,Less than $250 thousand,44,59,0,59
2010,59:26.2,Defense,ORG-2872,$1 - <$5 million,$250 thousand - <$1 million,Zero value,1,2,2750051,2
2013,59:26.2,Defense,ORG-2882,$1 - <$5 million,Deobligation,Deobligation,3,7,4940659.79,7
2012,59:26.2,Defense,ORG-2825,$5 - <$25 million,Zero value,Zero value,128,1254,1188154726,1267
2005,59:26.2,Defense,NULL,Zero value,Zero value,$250 thousand - <$1 million,1,1,0,1
2007,59:26.2,Defense,ORG-2845,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,3,728446,3
2009,59:26.2,Defense,ORG-2781,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,55624,55633,1031724228,55633
2010,59:26.2,Defense,ORG-2936,$1 - <$5 million,Zero value,Zero value,94,617,207206807.3,653
2004,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,3,764770,3
2007,59:26.2,Defense,ORG-2876,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,1,4,7346764,4
2014,59:26.2,Defense,ORG-2943,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,13,52,33665107.15,52
2014,59:26.2,Defense,NULL,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,6,28348190,6
2008,59:26.2,Defense,ORG-2940,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,1,2,16388996,2
2001,59:26.2,Defense,ORG-2858,Zero value,NULL,Zero value,39,39,0,NULL
2012,59:26.2,Defense,NULL,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,31,59,4659899.86,59
2010,59:26.2,Defense,ORG-2838,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1109,1505,41078814.52,1604
2006,59:26.2,Defense,ORG-2835,Deobligation,Less than $250 thousand,Less than $250 thousand,2,4,-47161.91,4
2007,59:26.2,Defense,ORG-2835,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,3,9,363569.84,9
2007,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1,1,461318,1
2009,59:26.2,Defense,ORG-2936,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,1,4,30866129.45,4
2010,59:26.2,Defense,ORG-2937,Deobligation,Less than $250 thousand,Deobligation,1,1,-10.32,1
2011,59:26.2,Defense,ORG-3960,Less than $250 thousand,Deobligation,Deobligation,13,61,1277135.56,61
2006,59:26.2,Defense,ORG-2776,$250 thousand - <$1 million,Zero value,Zero value,4,6,2038393,6
2013,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,Zero value,Zero value,3,10,1589760.875,10
2013,59:26.2,Defense,ORG-2791,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,27,46,17243385.92,46
2013,59:26.2,Defense,ORG-2773,Less than $250 thousand,Zero value,Zero value,1,1,4113,1
2006,59:26.2,Defense,ORG-2941,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,10,1780500,13
2014,59:26.2,Defense,ORG-4894,Less than $250 thousand,$1 - <$5 million,Zero value,1,4,143135,4
2013,59:26.2,Defense,ORG-4774,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,59,176,435806178.7,176
2010,59:26.2,Defense,ORG-2940,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,24,66,10307719.93,66
2007,59:26.2,Defense,ORG-2944,$5 - <$25 million,Zero value,Zero value,35,290,338489757.3,296
2010,59:26.2,Defense,ORG-2838,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,4,10,561975.05,10
2009,59:26.2,Defense,ORG-2880,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,1,5,4668500,5
2012,59:26.2,Defense,NULL,Zero value,Zero value,$1 - <$5 million,5,11,0,11
2014,59:26.2,Defense,ORG-2872,Zero value,$5 - <$25 million,$5 - <$25 million,7,17,0,17
2012,59:26.2,Defense,ORG-2944,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,2,6,178462.48,6
2009,59:26.2,Defense,ORG-2877,Zero value,NULL,$100 - <$500 million,47,97,0,NULL
2009,59:26.2,Defense,ORG-3960,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,6,30,3641901.69,30
2006,59:26.2,Defense,ORG-2774,Zero value,NULL,$1 - <$5 million,1,1,0,NULL
2008,59:26.2,Defense,ORG-3960,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,45,156,108375882.3,156
2008,59:26.2,Defense,ORG-2875,$1 - <$5 million,$1 - <$5 million,Zero value,2,4,2798470.4,4
2007,59:26.2,Defense,ORG-2943,$1 - <$5 million,$1 - <$5 million,Deobligation,1,6,2803910,6
2005,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,Zero value,Zero value,666,1611,305069670.1,3681
2009,59:26.2,Defense,ORG-2844,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,4,12,462943.4,12
2010,59:26.2,Defense,ORG-2836,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,14,2732285.96,14
2010,59:26.2,Defense,ORG-2944,Zero value,NULL,Less than $250 thousand,11,26,0,NULL
2012,59:26.2,Defense,ORG-2872,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,14,110,28064411.79,110
2007,59:26.2,Defense,ORG-2941,$25 - <$100 million,Greater than $500 million,Greater than $500 million,2,27,58861806.5,30
2007,59:26.2,Defense,ORG-2825,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,2,16,168911913,16
2014,59:26.2,Defense,NULL,$5 - <$25 million,$1 - <$5 million,Zero value,3,19,17450551.87,19
2007,59:26.2,Defense,ORG-2876,$5 - <$25 million,$250 thousand - <$1 million,$1 - <$5 million,1,22,7391099,22
2003,59:26.2,Defense,ORG-2872,$5 - <$25 million,Zero value,Zero value,203,824,2058726637,826
2012,59:26.2,Defense,ORG-2845,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,5,12,540585.2,12
2005,59:26.2,Defense,ORG-2825,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,10,1068691,10
2010,59:26.2,Defense,ORG-2874,Less than $250 thousand,Zero value,Zero value,23,46,838011.92,46
2010,59:26.2,Defense,ORG-2869,Less than $250 thousand,$250 thousand - <$1 million,$250 thousand - <$1 million,8,18,1229485.46,18
2008,59:26.2,Defense,ORG-2880,Less than $250 thousand,Zero value,Zero value,11,16,692942,16
2007,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,12,26,4670511,26
2013,59:26.2,Defense,ORG-4383,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,1,5,618542.249,5
2013,59:26.2,Defense,ORG-2871,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,4,45,40848596.79,45
2013,59:26.2,Defense,ORG-2880,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,2,5,969445.3125,5
2010,59:26.2,Defense,ORG-2878,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,30,87,15064529.65,202
2007,59:26.2,Defense,ORG-2845,Zero value,NULL,Zero value,43,75,0,NULL
2013,59:26.2,Defense,ORG-2791,Deobligation,Deobligation,Zero value,1,1,-4211.25,1
2007,59:26.2,Defense,NULL,Zero value,Less than $250 thousand,$250 thousand - <$1 million,4,6,0,6
2014,59:26.2,Defense,ORG-2875,Less than $250 thousand,Less than $250 thousand,Zero value,516,997,30951298.87,997
2009,59:26.2,Defense,ORG-2844,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,8,17,1291773.82,17
2012,59:26.2,Defense,ORG-2774,$25 - <$100 million,$25 - <$100 million,Deobligation,1,6,36526901.29,6
2009,59:26.2,Defense,ORG-2940,Zero value,NULL,$100 - <$500 million,83,201,0,NULL
2011,59:26.2,Defense,ORG-2937,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,8,20,293911.21,20
2012,59:26.2,Defense,NULL,Deobligation,Deobligation,Deobligation,7128,8545,-787021065.2,8557
2001,59:26.2,Defense,ORG-2844,$1 - <$5 million,Zero value,Zero value,11,22,18155760,22
2013,59:26.2,Defense,ORG-2836,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,6,1727872.281,6
2011,59:26.2,Defense,ORG-2835,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,3,107,125205611.4,107
2008,59:26.2,Defense,ORG-2943,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,121,419,1345114986,425
2012,59:26.2,Defense,ORG-3960,Less than $250 thousand,Less than $250 thousand,Deobligation,3,7,536581.34,7
2014,59:26.2,Defense,ORG-2945,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,1,1,676003.625,1
2006,59:26.2,Defense,ORG-2937,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,1,1,8916040,1
2008,59:26.2,Defense,ORG-2836,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2006,59:26.2,Defense,ORG-2787,Zero value,NULL,$5 - <$25 million,16,16,0,NULL
2010,59:26.2,Defense,ORG-2835,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,1,7,2563592.94,7
2007,59:26.2,Defense,ORG-2943,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,8,8,0,8
2009,59:26.2,Defense,ORG-2878,Deobligation,Zero value,Zero value,9,10,-405294.23,10
2005,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,Zero value,Zero value,2323,5620,1145817427,7453
2005,59:26.2,Defense,ORG-2825,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2005,59:26.2,Defense,ORG-2945,$25 - <$100 million,Zero value,Zero value,2,9,71399302,9
2011,59:26.2,Defense,ORG-2877,Zero value,NULL,Deobligation,120,275,0,NULL
2008,59:26.2,Defense,ORG-2834,Zero value,Zero value,Less than $250 thousand,1,2,0,2
2013,59:26.2,Defense,ORG-2869,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,1,1,353500,1
2013,59:26.2,Defense,ORG-2937,Deobligation,$250 thousand - <$1 million,Less than $250 thousand,1,8,-109161,8
2008,59:26.2,Defense,ORG-2841,Zero value,Less than $250 thousand,Less than $250 thousand,1,3,0,3
2006,59:26.2,Defense,ORG-2875,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,6,17,3273789.2,17
2010,59:26.2,Defense,ORG-2941,Greater than $500 million,Zero value,Zero value,4,174,2911403584,174
2002,59:26.2,Defense,ORG-2941,$100 - <$500 million,Zero value,Zero value,21,288,3942364905,291
2003,59:26.2,Defense,ORG-2872,Zero value,Zero value,$100 - <$500 million,8,8,0,8
2010,59:26.2,Defense,ORG-2837,Zero value,Less than $250 thousand,Zero value,2,3,0,3
2002,59:26.2,Defense,ORG-2825,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,1,3,4083632,3
2009,59:26.2,Defense,ORG-2845,Zero value,NULL,$1 - <$5 million,25,39,0,NULL
2010,59:26.2,Defense,ORG-2945,Less than $250 thousand,Zero value,Zero value,215,392,27950847.58,392
2001,59:26.2,Defense,ORG-2861,$5 - <$25 million,Zero value,Zero value,29,102,318231449,103
2011,59:26.2,Defense,ORG-2943,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,13117,17247,325421544,17573
2009,59:26.2,Defense,ORG-3960,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,1,3,10700885,3
2013,59:26.2,Defense,ORG-2937,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,52,141,37393202.19,141
2012,59:26.2,Defense,ORG-2834,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,1,3,732204,3
2009,59:26.2,Defense,NULL,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,163,304,91309910.47,304
2007,59:26.2,Defense,ORG-2940,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,147,401,1626004688,401
2013,59:26.2,Defense,ORG-2869,Less than $250 thousand,Deobligation,Deobligation,7,14,350394.336,14
2010,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$1 - <$5 million,Zero value,34,266,22486082.55,276
2002,59:26.2,Defense,ORG-2945,Zero value,NULL,$250 thousand - <$1 million,1,1,0,NULL
2006,59:26.2,Defense,ORG-2838,Zero value,Less than $250 thousand,Less than $250 thousand,5,5,0,5
2012,59:26.2,Defense,ORG-2835,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,2,11,12326253.84,11
2010,59:26.2,Defense,ORG-2843,$25 - <$100 million,Deobligation,Deobligation,1,12,32358092.27,12
2003,59:26.2,Defense,ORG-2875,Zero value,Zero value,$5 - <$25 million,5,5,0,5
2009,59:26.2,Defense,ORG-2944,$5 - <$25 million,$1 - <$5 million,Deobligation,1,11,5434616,13
2009,59:26.2,Defense,ORG-4020,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,1,1,150000,1
2012,59:26.2,Defense,ORG-2872,Zero value,NULL,$25 - <$100 million,167,244,0,NULL
2011,59:26.2,Defense,ORG-2943,Less than $250 thousand,Less than $250 thousand,Zero value,270,380,10378697.44,380
2011,59:26.2,Defense,ORG-2773,Zero value,NULL,$100 - <$500 million,1,1,0,NULL
2006,59:26.2,Defense,ORG-2941,Zero value,NULL,$1 - <$5 million,35,44,0,NULL
2009,59:26.2,Defense,ORG-2936,Zero value,Less than $250 thousand,Zero value,7,12,0,12
2009,59:26.2,Defense,ORG-2936,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,1,1,2951031.17,3
2009,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,Deobligation,3,15,1931460.44,15
2011,59:26.2,Defense,ORG-2941,Zero value,NULL,$250 thousand - <$1 million,59,93,0,NULL
2003,59:26.2,Defense,NULL,Less than $250 thousand,Zero value,Zero value,112547,120468,6185800602,121387
2011,59:26.2,Defense,ORG-2941,$100 - <$500 million,$100 - <$500 million,Zero value,1,4,203109632,8
2013,59:26.2,Defense,ORG-2835,Less than $250 thousand,Zero value,Zero value,68,125,3892415.229,125
2013,59:26.2,Defense,ORG-2880,Zero value,NULL,Zero value,31,54,0,NULL
2008,59:26.2,Defense,ORG-2882,Zero value,NULL,Zero value,76,98,0,NULL
2001,59:26.2,Defense,ORG-2837,Deobligation,Zero value,Zero value,6,6,-2047629,6
2007,59:26.2,Defense,ORG-2839,$5 - <$25 million,Zero value,Zero value,1,9,5890507,9
2013,59:26.2,Defense,ORG-2844,$1 - <$5 million,Zero value,Zero value,1,1,1989783,1
2012,59:26.2,Defense,ORG-2941,Zero value,Less than $250 thousand,$250 thousand - <$1 million,1,1,0,1
2011,59:26.2,Defense,ORG-2777,Zero value,NULL,Less than $250 thousand,31,65,0,NULL
2009,59:26.2,Defense,ORG-2945,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,2,2,115022,2
2002,59:26.2,Defense,ORG-2837,$5 - <$25 million,Zero value,Zero value,5,31,41812838,31
2010,59:26.2,Defense,ORG-2825,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,3464,6409,1741416338,7124
2012,59:26.2,Defense,ORG-2871,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,74,155,40775606.35,155
2013,59:26.2,Defense,ORG-2776,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,2,7,1021277.594,7
2002,59:26.2,Defense,ORG-2945,$25 - <$100 million,Zero value,Zero value,2,8,90640000,8
2008,59:26.2,Defense,ORG-2869,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,1,13,1147742.65,13
2007,59:26.2,Defense,ORG-2942,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,9,9,4322896.76,9
2012,59:26.2,Defense,ORG-2877,$25 - <$100 million,$25 - <$100 million,Zero value,1,18,30611064.95,18
2013,59:26.2,Defense,ORG-2777,Less than $250 thousand,Deobligation,Deobligation,2,5,218198.8486,5
2012,59:26.2,Defense,ORG-2880,Deobligation,Zero value,Zero value,39,44,-17281870.55,44
2009,59:26.2,Defense,ORG-2872,Less than $250 thousand,$250 thousand - <$1 million,Zero value,2,4,422215.22,4
2014,59:26.2,Defense,ORG-2882,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,1,1,715550,1
2005,59:26.2,Defense,ORG-2872,Zero value,$100 - <$500 million,$100 - <$500 million,1,1,0,1
2004,59:26.2,Defense,ORG-2943,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,2,2,1680124,2
2011,59:26.2,Defense,NULL,$5 - <$25 million,Deobligation,$5 - <$25 million,1,7,12271311.84,7
2006,59:26.2,Defense,ORG-2882,Zero value,NULL,Zero value,43,54,0,NULL
2013,59:26.2,Defense,ORG-4774,Zero value,NULL,Less than $250 thousand,52,222,0,NULL
2009,59:26.2,Defense,ORG-2835,Zero value,Zero value,Zero value,974,1426,0,1428
2012,59:26.2,Defense,ORG-2785,Zero value,NULL,$100 - <$500 million,6,6,0,NULL
2011,59:26.2,Defense,ORG-2871,Zero value,Zero value,Zero value,245,324,0,324
2007,59:26.2,Defense,ORG-2877,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,1,3,158189.87,3
2002,59:26.2,Defense,NULL,Less than $250 thousand,NULL,Zero value,1,1,169197.21,NULL
2013,59:26.2,Defense,ORG-2877,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,2,17,1622224.199,17
2008,59:26.2,Defense,ORG-2781,Zero value,NULL,Greater than $500 million,20,20,0,NULL
2011,59:26.2,Defense,ORG-2877,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,7,60,58592567.83,60
2009,59:26.2,Defense,ORG-2875,Less than $250 thousand,Less than $250 thousand,Deobligation,239,881,20418242.45,881
2010,59:26.2,Defense,ORG-2869,Zero value,$250 thousand - <$1 million,Deobligation,2,3,0,3
2006,59:26.2,Defense,ORG-2940,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,3,6,6792019.32,6
2006,59:26.2,Defense,NULL,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,2,3,310192,3
2011,59:26.2,Defense,ORG-2943,Zero value,$25 - <$100 million,$25 - <$100 million,1,1,0,1
2013,59:26.2,Defense,ORG-2825,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,1,3019090.25,1
2008,59:26.2,Defense,ORG-2876,$1 - <$5 million,$250 thousand - <$1 million,Deobligation,2,9,5511643.09,9
2005,59:26.2,Defense,ORG-2879,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,20,32,46594066,32
2010,59:26.2,Defense,ORG-2877,$100 - <$500 million,$100 - <$500 million,Deobligation,2,46,272785239.4,46
2010,59:26.2,Defense,ORG-2942,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,1,16,59376376,16
2013,59:26.2,Defense,ORG-4383,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,35,153,67665080,1445
2008,59:26.2,Defense,ORG-2941,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,7,69,4628412.82,69
2009,59:26.2,Defense,ORG-2872,Zero value,$250 thousand - <$1 million,Zero value,2,2,0,2
2014,59:26.2,Defense,ORG-4774,Deobligation,Zero value,Less than $250 thousand,56,67,-5245498.476,67
2007,59:26.2,Defense,NULL,Less than $250 thousand,Deobligation,Deobligation,17,45,1188801.8,45
2009,59:26.2,Defense,ORG-2877,$100 - <$500 million,Zero value,Zero value,28,778,5801884265,808
2002,59:26.2,Defense,NULL,Deobligation,Deobligation,Deobligation,3,3,-41270.04,3
2012,59:26.2,Defense,ORG-2835,$5 - <$25 million,$250 thousand - <$1 million,Deobligation,1,14,10644731.86,14
2003,59:26.2,Defense,ORG-2841,Deobligation,Zero value,Zero value,20,34,-1328315,34
2014,59:26.2,Defense,ORG-2785,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,71,74,143016552.8,90
2013,59:26.2,Defense,ORG-2869,$1 - <$5 million,$1 - <$5 million,Zero value,16,31,29996127.02,31
2013,59:26.2,Defense,ORG-2825,$25 - <$100 million,$250 thousand - <$1 million,Deobligation,1,13,52440586,13
2011,59:26.2,Defense,ORG-2875,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,17102873.17,4
2012,59:26.2,Defense,ORG-2945,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,3,19,5645961,19
2009,59:26.2,Defense,ORG-2872,Zero value,Zero value,$250 thousand - <$1 million,4,6,0,6
2012,59:26.2,Defense,ORG-2837,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,6,11,41038807.7,1404
2007,59:26.2,Defense,ORG-2836,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,99,205,183981210.6,1066
2010,59:26.2,Defense,ORG-2835,$5 - <$25 million,Deobligation,Deobligation,1,11,6677535.63,11
2006,59:26.2,Defense,ORG-2834,Greater than $500 million,Zero value,Zero value,4,99,2856667279,108
2009,59:26.2,Defense,ORG-2941,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,3,5,3010154,5
2011,59:26.2,Defense,ORG-2784,Zero value,NULL,$25 - <$100 million,2,2,0,NULL
2010,59:26.2,Defense,ORG-2835,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,1,9,4047557.24,9
2013,59:26.2,Defense,NULL,$5 - <$25 million,Zero value,Zero value,21,147,181910390.5,147
2008,59:26.2,Defense,ORG-2945,Zero value,NULL,$250 thousand - <$1 million,1,1,0,NULL
2007,59:26.2,Defense,ORG-2945,$5 - <$25 million,$5 - <$25 million,Zero value,6,128,58171020.89,128
2006,59:26.2,Defense,NULL,Zero value,Less than $250 thousand,$250 thousand - <$1 million,5,6,0,6
2011,59:26.2,Defense,ORG-3960,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,4,56,34218405.36,56
2010,59:26.2,Defense,ORG-2845,$5 - <$25 million,Deobligation,Deobligation,1,4,7721632.08,8
2001,59:26.2,Defense,ORG-2844,Deobligation,Zero value,Zero value,12,12,-163113,12
2006,59:26.2,Defense,ORG-2937,Zero value,$1 - <$5 million,$1 - <$5 million,54,78,0,78
